OBJECTID,ROAD_NAME,STATUS,PROJ_NAME,TYPE,TOWN,Shape__Length
746,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,313.375613427585
747,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,615.335463466549
748,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,650.813332168559
749,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,313.116796125616
750,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,82.794208919058
751,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,1342.49810238875
752,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,200.999880614189
753,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,350.79459956749
754,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,167.863710084383
755,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,123.534031757283
756,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,202.378171430223
757,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,9.8095211056108
758,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,217.998115762922
759,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,186.872212013081
760,CODDINGTON HWY,COMPLETED,CODDINGTON HWY “ROAD DIET” BIKE LANES,BIKE LANES,NEWPORT,74.2079464484266
761,CODDINGTON HWY,COMPLETED,CODDINGTON HWY “ROAD DIET” BIKE LANES,BIKE LANES,MIDDLETOWN,146.114277277885
762,CODDINGTON HWY,COMPLETED,CODDINGTON HWY “ROAD DIET” BIKE LANES,BIKE LANES,MIDDLETOWN,257.857916129033
763,CODDINGTON HWY,COMPLETED,CODDINGTON HWY “ROAD DIET” BIKE LANES,BIKE LANES,MIDDLETOWN,92.9765140531777
764,CODDINGTON HWY,COMPLETED,CODDINGTON HWY “ROAD DIET” BIKE LANES,BIKE LANES,MIDDLETOWN,230.623505724509
765,CODDINGTON HWY,COMPLETED,CODDINGTON HWY “ROAD DIET” BIKE LANES,BIKE LANES,NEWPORT,679.139655403249
766,CODDINGTON HWY,COMPLETED,CODDINGTON HWY “ROAD DIET” BIKE LANES,BIKE LANES,NEWPORT,357.668472577618
