OBJECTID,F_Name,F_Type,Street,Town,OwnerTyp,P_Ground,B_Field,S_Field,F_Field,M_Field,B_Court,T_Court,V_Court,Track,SkatPark,IH_Rink,SH_Rink,Golf,Fishing,Boating,Hunting,Trails,Beach,Pool,RestRoom,W_Path,B_Path,SplashPark,PickBall,Shelter,CommGard,Stage,Dog,TabGame,Camping,Fitness,GrantFund,POINT_X,POINT_Y,DEMID,StateBond,LWCF,GlobalID,RIEJ,Justice40,x,y
257,Admiral Luce Circle,LP,Kay,Newport,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.30456748,41.4937964,Not Applicable,N,N,{E05BB503-2DCF-4A4D-83F8-4034DCDFCE59},N,N,381624.32186475,149619.039205
258,Jacqueline Clements Park,LP,Dudley,Providence,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.41982898,41.8107341,Not Applicable,N,N,{E62982C3-09AA-45FE-801D-40469603C172},Y,Y,349939.703147501,265057.193826921
259,Pierce Field Splash Park,LP,Mercer,East Providence,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Y,0,0,2020-40-03,Y,N,{2C227901-3CF1-4E90-BF84-40528F73D086},Y,Y,360330.172852084,265307.064062089
260,Ball O'Brien Park,LP,Side,New Shoreham,MUN,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Y,-71.58085592,41.18125202,"2006-70-08,2013-40-010,2011-40-10",Y,N,{5B7D7D4E-26AD-4926-BF30-405A1FBCE902},N,N,305825.780548751,35687.5502049178
261,Mowry Conservation Area,CA,Farnum Pike,Smithfield,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.55304302,41.92401795,4400086,N,Y,{DCF420EF-9315-4250-8D45-40E4101255F3},N,N,313648.153355416,306332.349465422
262,Clarence St. Playground,LP,Clarence,Providence,MUN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.45091766,41.8091845,4400205,N,Y,{A71E643A-A631-46C3-AB58-40F2B7491467},Y,Y,341464.571803834,264486.147396833
263,Burgess Field,LP,Albert,Smithfield,MUN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.54843114,41.87600694,Not Applicable,N,N,{327E74B0-AAFA-4CE0-916B-4148D9687E1A},N,N,314893.359526418,288836.187607422
264,West Kingston School,SC,Ministerial,South Kingstown,SCH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.550471,41.4781752,Not Applicable,N,N,{A99ED412-0DBF-4BAF-9F1C-4150C73B4D88},N,N,314252.902474001,143870.552342422
265,Simmons Mill Pond,MA,Colebrook,Little Compton,STA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.1543782,41.53970523,5055,?,N,{1D80BBBB-96C9-48B6-AC36-41518DEC9BC5},N,N,422703.565165419,166476.046173334
266,Willet Pond,FB,Willett,East Providence,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.35593482,41.77551392,4400124,N,Y,{253A919B-A25B-4AA5-95AF-420C377FF198},Y,N,367380.156127419,252245.765709668
