OBJECTID,TOWN,ZIP_CODE,CTRACT2000,CBLKGROUP,TRCTBLKGRP,FOREC_RATE,SUBLN_RATE,Acres,Shp_Length,Shape__Area,Shape__Length
87,Woonsocket,02895,173,2,173.002,7,4.306934,118.51787748,9996.89015376,5162638.99949646,9996.89015376491
88,Woonsocket,02895,173,3,173.003,7,4.306934,107.54699953,12107.1632295,4684747.53223419,12107.163229477
89,Woonsocket,02895,174,3,174.003,10,4.306934,105.09312679,9225.98422186,4577856.83023071,9225.98422185521
90,Woonsocket,02895,175,1,175.001,8,4.306934,95.51366755,9561.7518635,4160575.56494141,9561.75186349812
91,Woonsocket,02895,175,3,175.003,8,4.306934,116.48944365,10372.3626691,5074280.41733551,10372.3626691056
92,Woonsocket,02895,176,1,176.001,10,4.306934,52.34717522,6295.25015783,2280243.06583405,6295.25015783158
93,Woonsocket,02895,176,2,176.002,10,4.306934,85.70690798,9874.97517787,3733393.09690094,9874.97517787314
94,Woonsocket,02895,177,3,177.003,8,4.306934,89.26713326,10404.888585,3888476.51790619,10404.8885849871
95,Woonsocket,02895,178,1,178.001,10,4.306934,75.62644719,7837.8140531,3294288.20307922,7837.81405310161
96,Woonsocket,02895,178,2,178.002,10,4.306934,38.08767506,5176.81892326,1659099.2082901,5176.81892326078
97,Woonsocket,02895,178,3,178.003,10,4.306934,41.86735993,7452.13173166,1823742.28934479,7452.13173165612
98,Woonsocket,02895,179,1,179.001,9,4.306934,77.72878646,8472.49794136,3385866.10653687,8472.49794136203
99,Woonsocket,02895,179,2,179.002,9,4.306934,65.24472867,7870.90841103,2842060.52220154,7870.9084110303
100,Woonsocket,02895,179,3,179.003,9,4.306934,47.59491994,6277.55211982,2073234.81562805,6277.55211982185
101,Woonsocket,02895,180,2,180.002,10,4.306934,108.91916542,13134.5346246,4744519.08127594,13134.5346246294
102,Woonsocket,02895,180,3,180.003,10,4.306934,53.29076967,6655.76252232,2321346.04202271,6655.76252231549
103,Woonsocket,02895,181,2,181.002,9,4.306934,78.26091768,11644.0161862,3409045.7434845,11644.016186171
104,Woonsocket,02895,182,2,182.002,8,4.306934,43.04826995,8076.38082611,1875182.73222351,8076.38082610795
105,Woonsocket,02895,183,1,183.001,8,4.306934,75.36499474,12235.8991092,3282899.33418274,12235.8991091972
106,Providence,02904,28,2,28.002,9,3.709786,46.35845426,7418.15557358,2019374.36790466,7418.155573579
107,Providence,02904,28,5,28.005,9,3.709786,81.47051268,7969.69587441,3548855.70874786,7969.69587440732
108,Providence,02904,29,1,29.001,10,3.709786,124.49679603,16455.0594202,5423080.70407104,16455.0594202333
109,Providence,02904,29,2,29.002,10,3.709786,53.73978035,7206.11715673,2340904.94842529,7206.11715672786
110,Providence,02904,29,3,29.003,10,3.709786,73.59049193,6992.43745058,3205601.98777008,6992.43745057929
111,Providence,02904,29,4,29.004,10,3.709786,232.1857894,17477.2164115,10114013.4882507,17477.2164115102
112,Providence,02904,31,2,31.002,7,3.709786,3.69881074,2963.72702479,161120.204185486,2963.72702478799
113,Providence,02904,31,3,31.003,7,3.709786,18.65716529,3908.44366435,812706.160644531,3908.44366435001
114,Providence,02904,31,5,31.005,7,3.709786,127.98005842,15209.7272721,5574811.62130737,15209.7272720997
115,North Providence,02904,118,1,118.001,7,3.709786,231.14044686,12762.3592235,10068478.3647842,12762.3592235133
116,North Providence,02904,118,2,118.002,7,3.709786,107.61086765,9819.49889495,4687529.62753296,9819.4988949472
117,North Providence,02904,118,4,118.004,7,3.709786,118.08023582,9271.47927101,5143575.32756805,9271.47927100867
118,North Providence,02904,118,5,118.005,7,3.709786,159.31600663,10972.7501974,6939805.59312439,10972.7501974337
119,Providence,02905,1.01,1,1.011,11,4.038218,390.79705406,22149.0881818,17023120.5194168,22149.0881817894
120,Providence,02905,1.01,2,1.012,11,4.038218,27.78074479,4566.88508157,1210129.30310822,4566.8850815715
121,Providence,02905,1.01,3,1.013,11,4.038218,122.29962145,12516.74362,5327371.77471924,12516.7436200261
122,Providence,02905,1.01,4,1.014,11,4.038218,55.87655619,7043.04512879,2433982.90846252,7043.0451287897
123,Providence,02905,1.02,1,1.021,11,4.038218,53.13853637,8451.21099667,2314714.7593689,8451.21099667292
124,Providence,02905,1.02,3,1.023,11,4.038218,50.73174691,6815.38996069,2209875.00523376,6815.38996068503
125,Providence,02905,4,1,4.001,12,4.038218,65.21493254,7789.42376203,2840762.60269928,7789.42376202682
126,Providence,02905,4,3,4.003,12,4.038218,38.22636762,5563.46469891,1665140.65615845,5563.46469891422
127,Providence,02905,4,4,4.004,12,4.038218,31.72775385,4742.8791546,1382061.02671051,4742.87915459933
128,Providence,02905,5,1,5.001,13,4.038218,46.22526618,5820.22953501,2013572.6947403,5820.22953500748
129,Providence,02905,5,2,5.002,13,4.038218,24.65077269,4222.00593103,1073787.71172333,4222.0059310261
130,Providence,02905,5,3,5.003,13,4.038218,73.63815006,7426.75657804,3207677.97584534,7426.75657803751
131,Providence,02905,6,2,6.002,12,4.038218,88.038249,9472.34535491,3834946.31672668,9472.34535490511
132,Providence,02905,7,1,7.001,12,4.038218,13.49454794,3914.33683211,587822.537452698,3914.33683211078
133,Cranston,02905,135,1,135.001,7,4.038218,116.92648932,13062.6201439,5093318.1275177,13062.6201438866
134,Cranston,02905,135,2,135.002,7,4.038218,30.21147268,5785.06233602,1316011.81554413,5785.06233602098
135,Cranston,02905,135,3,135.003,7,4.038218,41.99543633,5564.01340682,1829321.29769135,5564.01340681985
136,Cranston,02905,135,4,135.004,7,4.038218,67.21131975,10449.8033383,2927725.23355103,10449.8033382516
137,Cranston,02905,135,5,135.005,7,4.038218,92.31180446,8642.21415812,4021102.4020462,8642.21415812118
138,Providence,02907,2,1,2.001,12,4.538329,48.44378902,7388.83193011,2110211.55443573,7388.83193010911
139,Providence,02907,2,2,2.002,12,4.538329,42.8253335,6085.54988893,1865471.62000275,6085.5498889291
140,Providence,02907,2,3,2.003,12,4.538329,31.63750737,4700.97038172,1378129.88980103,4700.97038171795
141,Providence,02907,2,4,2.004,12,4.538329,30.57020671,4719.69591126,1331638.27078247,4719.69591125924
142,Providence,02907,2,5,2.005,12,4.538329,118.3443108,11360.6452115,5155078.43414307,11360.6452115113
143,Providence,02907,3,1,3.001,12,4.538329,41.98203778,6307.12158172,1828737.6568222,6307.12158171621
144,Providence,02907,3,2,3.002,12,4.538329,38.13564166,6692.8711957,1661188.63328552,6692.8711957044
145,Providence,02907,3,3,3.003,12,4.538329,26.66146038,4694.69108982,1161373.27191925,4694.69108981809
146,Providence,02907,3,4,3.004,12,4.538329,34.7438961,5950.62416277,1513444.18939972,5950.62416276629
147,Providence,02907,3,5,3.005,12,4.538329,32.60661647,5530.50592449,1420344.28406525,5530.50592449398
148,Providence,02907,3,6,3.006,12,4.538329,42.94400845,6943.15747117,1870641.10121155,6943.1574711674
149,Providence,02907,3,7,3.007,12,4.538329,56.9365066,7077.95163504,2480154.35079956,7077.95163503834
150,Providence,02907,4,2,4.002,12,4.538329,24.37208323,4897.16627915,1061647.99835968,4897.16627915106
151,Providence,02907,7,2,7.002,12,4.538329,51.86782033,7921.7721075,2259362.3658371,7921.77210749687
152,Providence,02907,7,3,7.003,12,4.538329,17.685504,3959.27836836,770380.592506409,3959.27836835902
153,Providence,02907,12,1,12.001,8,4.538329,47.36275828,6675.27764147,2063121.85313416,6675.27764147021
154,Providence,02907,12,3,12.003,8,4.538329,39.31139378,5754.78926921,1712404.39816284,5754.78926921334
155,Providence,02907,14,1,14.001,13,4.538329,30.36486941,4818.2288138,1322693.77727509,4818.22881380228
156,Providence,02907,14,2,14.002,13,4.538329,38.96692751,5380.43792612,1697399.44667053,5380.43792612159
157,Providence,02907,14,5,14.005,13,4.538329,43.47717832,5943.2120915,1893865.98191071,5943.21209150211
158,Providence,02907,14,6,14.006,13,4.538329,41.12878519,6212.30911296,1791569.97188568,6212.30911295769
159,Providence,02907,15,2,15.002,9,4.538329,65.36900164,7784.90125218,2847473.85292053,7784.90125218255
160,Providence,02907,15,3,15.003,9,4.538329,45.31242183,7487.5299042,1973809.19301605,7487.52990420252
161,Providence,02908,21,1,21.001,10,5.590804,51.9822849,6554.0607559,2264348.44274902,6554.06075590328
162,Providence,02908,21,2,21.002,10,5.590804,41.80908007,6285.80285044,1821203.61834717,6285.80285043891
163,Providence,02908,21,3,21.003,10,5.590804,34.1744874,4858.21875551,1488640.7452774,4858.21875550635
164,Providence,02908,21,4,21.004,10,5.590804,57.59509861,6419.90576217,2508842.62007904,6419.90576216979
165,Providence,02908,21,5,21.005,10,5.590804,41.71473467,5510.28195044,1817093.93273163,5510.28195044281
166,Providence,02908,21,7,21.007,10,5.590804,40.58722004,5572.51308318,1767979.39268494,5572.51308317534
167,Providence,02908,21,8,21.008,10,5.590804,30.34749192,4991.85152441,1321936.81363678,4991.85152440837
168,Providence,02908,22,1,22.001,12,5.590804,80.97163422,8629.89465441,3527124.56195068,8629.89465440848
169,Providence,02908,22,2,22.002,12,5.590804,48.17003789,7278.41380418,2098286.95492554,7278.41380418021
170,Providence,02908,22,3,22.003,12,5.590804,37.63129339,5883.43174583,1639219.22135925,5883.43174583054
171,Providence,02908,22,4,22.004,12,5.590804,34.24329394,5041.31339105,1491637.9580307,5041.31339104823
172,Providence,02908,23,1,23.001,8,5.590804,35.23814994,5343.54310312,1534973.88766479,5343.54310312008
173,Providence,02908,23,3,23.003,8,5.590804,33.81677849,5017.43256908,1473058.94428253,5017.43256908428
174,Providence,02908,23,4,23.004,8,5.590804,44.49333831,6288.0039153,1938129.91314697,6288.00391530156
175,Providence,02908,23,5,23.005,8,5.590804,44.86568172,6902.32515611,1954349.19280243,6902.32515611175
176,Providence,02908,23,6,23.006,8,5.590804,43.65851928,6416.06153432,1901765.1942749,6416.06153431971
177,Providence,02908,24,1,24.001,7,5.590804,27.92748942,7904.55970131,1216521.4998703,7904.55970131338
178,Providence,02908,24,2,24.002,7,5.590804,62.09709886,8795.62395909,2704949.7607193,8795.62395909487
179,Providence,02908,24,3,24.003,7,5.590804,78.54345721,8363.27774711,3421353.16584015,8363.27774710982
180,Providence,02908,24,4,24.004,7,5.590804,93.92127917,10039.8049313,4091211.1237793,10039.8049313105
181,Providence,02908,24,6,24.006,7,5.590804,61.01534411,9306.35744651,2657828.52140808,9306.35744650633
182,Providence,02908,24,7,24.007,7,5.590804,51.85358818,6408.55940528,2258742.4135437,6408.55940527976
183,Providence,02908,25,1,25.001,9,5.590804,38.95223348,6705.9644089,1696759.37473297,6705.96440889521
184,Providence,02908,26,1,26.001,12,5.590804,45.75339968,6317.12872284,1993018.18895721,6317.12872283804
185,Providence,02908,26,2,26.002,12,5.590804,69.69971405,10108.7023004,3036119.69502258,10108.7023004407
186,Providence,02908,26,3,26.003,12,5.590804,48.63108278,6201.09665114,2118370.07125092,6201.09665113725
187,Providence,02908,27,1,27.001,11,5.590804,80.82222363,12038.2264049,3520616.23623657,12038.226404869
188,Providence,02908,27,2,27.002,11,5.590804,67.83635692,9867.20541926,2954951.85409546,9867.20541925744
189,Providence,02908,27,3,27.003,11,5.590804,68.42730617,7223.30251831,2980693.60461426,7223.30251831027
190,Providence,02908,27,4,27.004,11,5.590804,33.17326132,6488.74311462,1445027.33501434,6488.7431146162
191,Providence,02908,28,3,28.003,9,5.590804,49.99092578,7739.80938515,2177604.83522797,7739.80938514651
192,Providence,02908,28,4,28.004,9,5.590804,57.77666001,7707.68618279,2516751.43489838,7707.68618278869
193,Providence,02909,9,1,9.001,9,7.031425,10.56901548,5464.23822148,460386.337257385,5464.23822147598
194,Providence,02909,9,3,9.003,9,7.031425,12.61702908,2969.92423473,549597.814071655,2969.92423472659
195,Providence,02909,10,1,10.001,10,7.031425,69.37801291,10241.0809502,3022106.39247894,10241.0809502042
196,Providence,02909,10,2,10.002,10,7.031425,42.65206512,5593.70743356,1857924.04897308,5593.70743356123
197,Providence,02909,11,1,11.001,8,7.031425,9.65529403,2834.18319802,420584.628868103,2834.18319801704
198,Providence,02909,11,2,11.002,8,7.031425,9.87997242,3274.1368906,430371.620361328,3274.13689059765
199,Providence,02909,11,3,11.003,8,7.031425,15.83029402,3714.43203863,689567.64200592,3714.43203863313
200,Providence,02909,12,2,12.002,8,7.031425,37.71528639,5737.11861084,1642877.95663452,5737.11861084414
201,Providence,02909,13,1,13.001,10,7.031425,45.95877215,6423.22080425,2001964.21447754,6423.22080425214
202,Providence,02909,13,2,13.002,10,7.031425,29.17709709,4473.49474599,1270954.41235352,4473.49474599177
203,Providence,02909,13,3,13.003,10,7.031425,25.2984574,4494.04857032,1102000.85909271,4494.04857032167
204,Providence,02909,13,4,13.004,10,7.031425,44.55906248,7957.20565699,1940992.85822296,7957.20565699022
205,Providence,02909,14,3,14.003,13,7.031425,21.60289462,4187.32432479,941022.13659668,4187.32432478645
206,Providence,02909,14,4,14.004,13,7.031425,47.99000607,5585.9374964,2090444.76816559,5585.93749639977
207,Providence,02909,16,1,16.001,12,7.031425,35.68579562,5597.56965161,1554473.33462524,5597.56965160734
208,Providence,02909,16,2,16.002,12,7.031425,101.60698327,11037.7493506,4426000.41106415,11037.7493505568
209,Providence,02909,16,3,16.003,12,7.031425,39.29599403,7968.92265818,1711733.58521271,7968.9226581811
210,Providence,02909,16,4,16.004,12,7.031425,25.72844178,5465.83240411,1120730.97956085,5465.83240410616
211,Providence,02909,16,5,16.005,12,7.031425,40.46638738,5470.85889738,1762715.92211914,5470.85889738064
212,Providence,02909,16,6,16.006,12,7.031425,36.72823247,5044.48203782,1599881.88593292,5044.48203781817
213,Providence,02909,16,7,16.007,12,7.031425,21.57490959,4058.19726104,939803.108436584,4058.19726104211
214,Providence,02909,17,1,17.001,11,7.031425,30.09418697,5396.9803395,1310902.849823,5396.98033949839
215,Providence,02909,17,2,17.002,11,7.031425,58.75419878,6752.40762824,2559333.02625275,6752.40762824098
216,Providence,02909,17,3,17.003,11,7.031425,69.1052121,6804.30956769,3010223.1887207,6804.30956768921
217,Providence,02909,18,1,18.001,11,7.031425,68.85467246,7445.25111891,2999309.68148041,7445.25111890555
218,Providence,02909,18,3,18.003,11,7.031425,26.4452455,4591.88719619,1151954.9511795,4591.88719619404
219,Providence,02909,18,4,18.004,11,7.031425,41.34128713,6021.0933184,1800826.55704498,6021.09331839686
220,Providence,02909,18,5,18.005,11,7.031425,48.68376529,7226.95288834,2120664.92160797,7226.95288833582
