OBJECTID,Land Use Type,Acres,Shape__Area,Shape__Length
10233,Non-urban Developed,5.74929117,250439.136032104,2657.70524198673
10234,Non-urban Developed,13.64631986,594433.722961426,5625.10266315125
10235,Non-urban Developed,1.7889118,77925.0022659302,1143.90196444724
10236,Non-urban Developed,8.5070452,370566.907566071,4977.18144421701
10237,Non-urban Developed,1.79737585,78293.6961517334,1195.48242714628
10238,Non-urban Developed,3.56702579,155379.651290894,1757.31969940677
10239,Non-urban Developed,1.61602079,70393.8694915771,1066.20619048404
10240,Non-urban Developed,4.85219963,211361.826660156,2242.9442738279
10241,Non-urban Developed,21.73270433,946676.647827148,8050.0794851439
10242,Non-urban Developed,4.20294689,183080.375823975,2113.170223776
10243,Non-urban Developed,3.99946213,174216.579059601,1864.84361894642
10244,Non-urban Developed,2.54653994,110927.28559494,1371.6205890673
10245,Non-urban Developed,0.98574614,42939.1041679382,1146.33420141518
10246,Non-urban Developed,23.1078012,1006575.87059021,8132.33896445778
10247,Non-urban Developed,1.36404945,59417.9970092773,1034.6360864757
10248,Non-urban Developed,1.75136524,76289.4740333557,1164.05370881099
10249,Non-urban Developed,1.66847341,72678.7057266235,1371.62334418646
10250,Non-urban Developed,1.82491468,79493.2874794006,1090.11420464559
10251,Non-urban Developed,2.22305768,96836.3974723816,1217.36177624641
10252,Non-urban Developed,3.64919792,158959.069335938,2228.71074638726
10253,Non-urban Developed,1.21410603,52886.4613418579,948.965056339899
10254,Non-urban Developed,8.23188009,358580.714660645,4679.37399457459
10255,Non-urban Developed,1.1861735,51669.7202301025,950.85075201988
10256,Non-urban Developed,11.51674801,501669.568496704,6207.59494546434
10257,Non-urban Developed,0.67538454,29419.7522621155,1275.26929079069
10258,Non-urban Developed,81.10572721,3532965.65274811,28983.1066777798
10259,Non-urban Developed,9.57018964,416877.481628418,4518.35197592295
10260,Non-urban Developed,1.26486748,55097.6305618286,945.501243101411
10261,Non-urban Developed,3.94381925,171792.77526474,1820.26184755844
10262,Non-urban Developed,2.31094814,100664.906364441,1288.23221267373
10263,Non-urban Developed,2.28269303,99434.113445282,1358.69787383469
10264,Non-urban Developed,1.07557007,46851.8346252441,836.123919212312
10265,Non-urban Developed,0.91849557,40009.6692810059,762.55698644807
10266,Non-urban Developed,2.16217906,94184.5248031616,1608.59790335165
10267,Non-urban Developed,0.82946871,36131.6590423584,811.445186542396
10268,Non-urban Developed,3.45403587,150457.810379028,1717.26350606414
10269,Non-urban Developed,2.62801043,114476.14037323,1522.5757659463
10270,Non-urban Developed,1.55063407,67545.6236877441,1602.38040427129
10271,Non-urban Developed,4.7374016,206361.224334717,1932.99257090173
10272,Non-urban Developed,2.10678737,91771.662689209,1677.03265652789
10273,Non-urban Developed,4.85092952,211306.500442505,2194.30000870793
10274,Non-urban Developed,2.38219944,103768.612751007,1363.87006888967
10275,Non-urban Developed,0.90926307,39607.5016479492,786.431639514478
10276,Non-urban Developed,7.24791974,315719.399658203,2402.65139154965
10277,Non-urban Developed,2.39773121,104445.176849365,2275.87432577099
10278,Non-urban Developed,1.22602466,53405.6370010376,941.797360239526
10279,Non-urban Developed,2.0323974,88531.2354469299,1206.55079535262
